DATE,,,,,,4/7/2016,4/7/2016,4/8/2016,4/8/2016,4/9/2016,4/9/2016,4/10/2016,4/10/2016,4/11/2016,4/11/2016,4/12/2016,4/12/2016,4/13/2016,4/13/2016,4/14/2016,4/14/2016,4/15/2016,4/15/2016,4/16/2016,4/16/2016,4/17/2016,4/17/2016,4/18/2016,4/18/2016,4/19/2016,4/19/2016,4/20/2016,4/20/2016,4/27/2016,4/27/2016,4/28/2016,4/28/2016
Egg pod ID,Species,Temp (C),Daylength,Site,Notes,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead,Number alive,Number dead
F51_LV_S_dodg_B1,dodg,LV,S,B1,,,,,,,,,,2,0,2,0,0,2,,,,,,,,,,,,,,,,,,
F38A_LV_S_dodg_B1,dodg,LV,S,B1,all dead 4/26,,,,,,,,,3,0,3,0,2,1,,,,,,,,,,,,,,,,,,
F25A_LV_S_dodg_A1,dodg,LV,S,A1,,,,,,,,,,4,0,3,2,3,3,,,,,,,,,,,,,,,,,,
F21_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,3,0,2,1,2,1,,,,,,,,,,,,,,,,,,
F70_HV_L_dodg_C1,dodg,HV,L,C1,,,,,,,,,,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,
F55_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,,,,,1,0,2,0,3,0,,,,,,,,,,,,,,,,,,
F42_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,8,0,9,0,10,0,,,,,,,,,,,,,,,,,,
F38D_HV_L_dodg_B1,dodg,HV,L,B1,,,,,,,,,,1,0,2,0,3,0,,,,,,,,,,,,,,,,,,
F49_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,5,0,5,0,7,1,,,,,,,,,,,,,,,,,,
F20_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,7,0,3,4,3,4,,,,,,,,,,,,,,,,,,
F29_HV_L_dodg_A1,dodg,HV,L,A1,,,,,,,,,,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,
F8B_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,7,0,8,0,8,0,,,,,,,,,,,,,,,,,,
F35_LV_L_dodg_A1,dodg,LV,L,A1,all dead 5/3,,,,,,,,,2,0,3,0,4,0,,,,,,,,,,,,,,,,,,
F19_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,3,0,3,0,2,1,,,,,,,,,,,,,,,,,,
F64_LV_L_dodg_C1,dodg,LV,L,C1,,,,,,,,,,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,
F27_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,3,0,4,0,6,0,,,,,,,,,,,,,,,,,,
F44_LV_L_dodg_A1,dodg,LV,L,A1,,,,,,,,,,3,0,4,0,4,1,,,,,,,,,,,,,,,,,,
